mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
43,Nightsaver,418,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,418,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,418,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,418,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,418,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,418,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,418,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,418,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,275,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,275,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,275,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
564,Nightsaver,275,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,275,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,275,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,275,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,275,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
565,Nightsaver,280,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
565,Nightsaver,280,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
565,Nightsaver,280,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
565,Nightsaver,280,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,280,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,280,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,280,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,280,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,290,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,290,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,290,23,8,72,11.64,6.45,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,290,23,5,72,11.33,6.52,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,408,23,6,72,11.5,6.5,0,,,EoN(2014-01-14) Electricity Aq 1yr
44,Nightsaver,408,23,7,72,11.62,6.48,0,,,EoN(2014-01-14) Electricity Aq 1yr
