mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
43,Nightsaver,402,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,402,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,402,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,402,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,401,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,401,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,401,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,401,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,606,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,606,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,606,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
43,Nightsaver,606,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,401,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,401,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,401,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,401,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,402,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,402,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,402,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,402,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,606,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,606,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,606,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
543,Nightsaver,606,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
167,Nightsaver,302,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
167,Nightsaver,302,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
167,Nightsaver,302,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
167,Nightsaver,302,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,302,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,302,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,302,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,302,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,304,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,304,20,8,72,11.54,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,304,20,6,72,11.57,6.67,0,,,EoN(2014-01-14) Electricity Aq 1yr
166,Nightsaver,304,20,7,72,11.61,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
285,Nightsaver,292,20,5,72,11.37,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
