mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
802,Baserate,381,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,381,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,381,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,381,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,383,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,383,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,383,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,383,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,389,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,389,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,389,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
802,Baserate,389,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,389,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,389,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,389,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,389,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,383,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,383,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,383,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,383,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,381,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,381,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,381,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
801,Baserate,381,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
838,Baserate,381,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
838,Baserate,381,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
838,Baserate,381,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
838,Baserate,381,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
840,Baserate,381,17,8,72,13.13,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
840,Baserate,381,17,5,72,13.18,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
840,Baserate,381,17,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
840,Baserate,381,17,7,72,13.24,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
123,Nightsaver,382,17,8,72,13.76,8.08,0,,,EoN(2014-01-14) Electricity Aq 1yr
123,Nightsaver,382,17,7,72,13.74,8.12,0,,,EoN(2014-01-14) Electricity Aq 1yr
123,Nightsaver,382,17,5,72,13.58,8.18,0,,,EoN(2014-01-14) Electricity Aq 1yr
123,Nightsaver,382,17,6,72,13.68,8.16,0,,,EoN(2014-01-14) Electricity Aq 1yr
124,Nightsaver,382,17,8,72,13.76,8.08,0,,,EoN(2014-01-14) Electricity Aq 1yr
124,Nightsaver,382,17,7,72,13.74,8.12,0,,,EoN(2014-01-14) Electricity Aq 1yr
124,Nightsaver,382,17,5,72,13.58,8.18,0,,,EoN(2014-01-14) Electricity Aq 1yr
124,Nightsaver,382,17,6,72,13.68,8.16,0,,,EoN(2014-01-14) Electricity Aq 1yr
121,Nightsaver,384,17,8,72,13.76,8.08,0,,,EoN(2014-01-14) Electricity Aq 1yr
121,Nightsaver,384,17,7,72,13.74,8.12,0,,,EoN(2014-01-14) Electricity Aq 1yr
121,Nightsaver,384,17,5,72,13.58,8.18,0,,,EoN(2014-01-14) Electricity Aq 1yr
121,Nightsaver,384,17,6,72,13.68,8.16,0,,,EoN(2014-01-14) Electricity Aq 1yr
