mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
8,Nightsaver,297,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,297,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,297,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,297,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,872,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,872,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,872,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,872,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,298,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,298,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,298,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,298,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,404,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,404,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,404,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,404,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,405,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,405,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,405,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,405,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,406,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,406,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,406,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,406,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,407,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,407,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,407,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,407,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,412,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,412,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,412,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,412,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,880,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,880,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,880,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,880,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,414,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,414,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,414,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,414,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,413,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,413,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,413,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,413,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,196,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,196,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,196,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,196,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,998,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,998,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,998,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,998,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,997,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,997,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,997,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,997,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,996,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,996,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,996,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,996,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,993,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,993,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,993,12,7,72,11.4,6.58,0,,,EoN(2014-01-14) Electricity Aq 1yr
514,Nightsaver,993,12,6,72,11.26,6.6,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,415,12,8,72,11.43,6.55,0,,,EoN(2014-01-14) Electricity Aq 1yr
8,Nightsaver,415,12,5,72,11.05,6.63,0,,,EoN(2014-01-14) Electricity Aq 1yr
