mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
891,Nightsaver,51,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
891,Nightsaver,51,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
891,Nightsaver,51,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
891,Nightsaver,51,16,7,72,12.08,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
523,Nightsaver,531,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
523,Nightsaver,531,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
523,Nightsaver,531,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
523,Nightsaver,531,16,7,72,12.08,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,161,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,161,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,161,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,161,16,7,72,12.08,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
550,Nightsaver,51,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
550,Nightsaver,51,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
550,Nightsaver,51,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
550,Nightsaver,51,16,7,72,12.08,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
16,Nightsaver,51,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
16,Nightsaver,51,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
16,Nightsaver,51,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
16,Nightsaver,51,16,7,72,12.08,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,31,16,5,72,11.78,6.81,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,31,16,8,72,12.1,6.73,0,,,EoN(2014-01-14) Electricity Aq 1yr
6,Nightsaver,31,16,6,72,11.96,6.78,0,,,EoN(2014-01-14) Electricity Aq 1yr
